,SummonerName,MatchName,Kills,KillDiff,Deaths,DeathDiff,Assists,AssistDiff,CS,CSDiff,Gold,GoldDiff,Win,Champion,OppChamp,GameTime,CSPerMin
31,Brandini,TLA-vs-TSMA,1.0,0.0,2.0,-2.0,13.0,9.0,330.0,6.0,16600,3900.0,1.0,Shen,Sion,38.02,8.67964229352972
32,V1PER,TLA-vs-OGA,6.0,5.0,4.0,0.0,4.0,0.0,258.0,50.0,12600,2900.0,1.0,Yasuo,Gnar,27.4,9.416058394160585
33,Brandini,TSMA-vs-CLGA,1.0,0.0,2.0,2.0,1.0,-5.0,277.0,58.0,10700,-300.0,0.0,Shen,Sion,31.11,8.903889424622308
34,V1PER,TLA-vs-C9A,9.0,8.0,3.0,-3.0,4.0,-3.0,289.0,77.0,16600,6300.0,1.0,Olaf,Cho'Gath,36.46,7.926494788809654
35,Brandini,GGSA-vs-TSMA,4.0,4.0,1.0,-1.0,3.0,2.0,311.0,38.0,15400,4700.0,1.0,Gnar,Rumble,33.57,9.26422400953232
36,V1PER,TLA-vs-C9A,5.0,5.0,3.0,0.0,9.0,1.0,422.0,168.0,17900,6800.0,1.0,Riven,Poppy,36.55,11.545827633378934
37,V1PER,TLA-vs-EFA,0.0,-4.0,3.0,1.0,2.0,-2.0,297.0,32.0,10900,-2400.0,0.0,Gnar,Cho'Gath,32.4,9.166666666666668
38,V1PER,TLA-vs-EFA,0.0,-4.0,3.0,3.0,2.0,-4.0,216.0,-2.0,9000,-1700.0,0.0,Gangplank,Cho'Gath,23.54,9.17587085811385
39,V1PER,TLA-vs-EFA,6.0,4.0,3.0,-4.0,8.0,4.0,366.0,63.0,20000,6100.0,1.0,Gangplank,Cho'Gath,41.58,8.802308802308803
40,V1PER,TLA-vs-EFA,0.0,0.0,2.0,-1.0,3.0,-3.0,241.0,-38.0,9800,-1600.0,0.0,Sion,Maokai,28.58,8.432470258922324
